C3-A1,C4-A2,F3-A1,F4-A2,F7-A1,F8-A2,Fp1-A1,Fp2-A2,O1-A1,O2-A2,P3-A1,P4-A2,T3-A1,T4-A2,T5-A1,T6-A2,LABEL
14.76462959,-2.75272755,17.26710918,-5.155107958,-7.757686732,-7.757686732,10.86076143,-5.155107958,9.759670405,7.657587549,12.16205081,-11.76165408,-5.655603876,-12.56244755,5.455405509,-11.06095979,NORMAL
14.46433204,-2.952925917,17.26710918,-4.854810407,-8.158083467,-7.257190814,10.66056306,-4.454413672,9.959868772,7.857785916,12.36224918,-11.76165408,-6.05600061,-11.36125734,6.356298161,-13.4633402,NORMAL
14.26413367,-4.254215305,21.97177081,-6.256198978,-8.658579385,-7.757686732,10.56046387,-4.154116121,10.36026551,7.9578851,12.36224918,-11.16105898,-6.05600061,-12.66254673,7.357289998,-13.16304265,NORMAL
14.56443122,-3.953917754,21.77157244,-7.457389181,-8.758678569,-7.15709163,10.36026551,-3.653620203,10.66056306,8.25818265,12.36224918,-10.46036469,-6.556496529,-12.96284428,7.9578851,-10.16006714,NORMAL
14.46433204,-3.953917754,20.47028305,-6.956893263,-8.658579385,-7.257190814,10.05996796,-2.152132448,10.96086061,8.458381018,12.36224918,-11.06095979,-5.755703059,-13.4633402,8.458381018,-10.16006714,NORMAL
14.16403449,-5.355306325,21.47127489,-6.556496529,-8.458381018,-9.859769589,9.759670405,-0.55054551,11.46135653,8.158083467,12.46234836,-11.76165408,-6.05600061,-13.56343938,9.159075303,-13.4633402,NORMAL
14.16403449,-5.755703059,18.9687953,-7.757686732,-8.358281834,-11.06095979,9.459372854,-0.050049592,11.56145571,7.357289998,12.46234836,-11.76165408,-6.956893263,-11.06095979,9.959868772,-14.76462959,NORMAL
14.16403449,-6.256198978,21.47127489,-8.958876936,-7.857785916,-9.659571221,8.858777752,-0.250247959,11.46135653,6.956893263,12.16205081,-11.76165408,-6.856794079,-8.057984283,10.26016632,-14.0639353,NORMAL
13.86373693,-6.356298161,29.77950713,-9.559472038,-7.257190814,-8.358281834,8.25818265,0.050049592,11.26115816,7.056992447,11.76165408,-11.66155489,-7.557488365,-7.15709163,10.26016632,-14.16403449,NORMAL
13.36324102,-6.556496529,30.07980468,-9.659571221,-6.656595712,-6.956893263,7.9578851,1.851834897,11.46135653,7.056992447,11.26115816,-11.36125734,-7.15709163,-6.656595712,10.56046387,-14.36423285,NORMAL
12.76264591,-8.658579385,26.77653162,-9.859769589,-5.755703059,-5.455405509,7.257190814,3.953917754,11.46135653,6.656595712,10.86076143,-10.56046387,-4.854810407,-7.15709163,11.16105898,-13.76363775,NORMAL
12.16205081,-9.05897612,24.17395285,-10.16006714,-4.754711223,-5.955901427,6.156099794,4.854810407,11.56145571,6.656595712,10.36026551,-10.16006714,-4.754711223,-7.857785916,11.46135653,-14.6645304,NORMAL
11.56145571,-8.458381018,18.76859693,-10.16006714,-4.154116121,-6.356298161,5.455405509,5.455405509,11.56145571,7.257190814,9.659571221,-10.46036469,-2.952925917,-7.15709163,11.46135653,-15.06492714,NORMAL
11.16105898,-9.859769589,13.06294347,-10.46036469,-3.253223468,-4.554512856,4.854810407,5.855802243,11.26115816,7.257190814,8.858777752,-10.26016632,1.251239796,-5.955901427,11.46135653,-12.96284428,NORMAL
10.56046387,-9.259174487,3.453421836,-10.86076143,-2.352330816,-4.754711223,3.953917754,6.156099794,11.26115816,7.257190814,8.25818265,-9.559472038,1.251239796,-6.05600061,11.86175326,-12.56244755,NORMAL
9.959868772,-7.857785916,-4.154116121,-10.76066224,-1.551537346,-8.158083467,2.852826734,6.956893263,11.26115816,7.657587549,7.357289998,-9.359273671,0.150148775,-6.656595712,12.06195163,-14.96482795,NORMAL
8.858777752,-10.16006714,2.152132448,-10.86076143,-0.650644694,-8.758678569,1.851834897,7.657587549,10.86076143,7.357289998,6.05600061,-9.659571221,2.852826734,-6.05600061,12.06195163,-14.6645304,NORMAL
8.25818265,-9.05897612,1.551537346,-11.76165408,0.450446326,-4.854810407,0.650644694,9.05897612,10.26016632,6.656595712,4.854810407,-9.05897612,4.254215305,-6.05600061,11.76165408,-11.66155489,NORMAL
8.25818265,-7.15709163,-15.36522469,-11.66155489,1.051041428,-3.85381857,-0.050049592,11.16105898,10.26016632,6.156099794,3.953917754,-8.358281834,4.654612039,-8.057984283,11.56145571,-12.26215,NORMAL
7.557488365,-10.46036469,-13.86373693,-11.36125734,1.65163653,-7.757686732,-1.151140612,12.16205081,10.05996796,5.755703059,2.852826734,-8.057984283,6.756694896,-8.758678569,11.26115816,-16.16601816,NORMAL
